epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1018.62,0.82613,0.55982,0.94563,0.95974,0.88656,0.9492,0.68303,0.95363,0.63521,1.03302,0.000473064,0.000473064,0.000473064
60,1035.53,0.83208,0.56473,0.95145,0.94014,0.91167,0.95843,0.71641,0.93438,0.66263,1.00805,0.000462065,0.000462065,0.000462065
61,1052.11,0.80443,0.55655,0.94035,0.97039,0.8769,0.95537,0.70156,0.91011,0.64502,1.00742,0.000451066,0.000451066,0.000451066
62,1069.1,0.81093,0.57415,0.94613,0.93692,0.89128,0.95538,0.7143,0.92398,0.66109,1.00654,0.000440067,0.000440067,0.000440067
63,1085.3,0.79511,0.54823,0.93431,0.94948,0.88718,0.95099,0.71597,0.92893,0.62709,1.02443,0.000429068,0.000429068,0.000429068
64,1102.32,0.81386,0.55028,0.93546,0.94997,0.88948,0.95598,0.72277,0.94348,0.65339,1.01959,0.000418069,0.000418069,0.000418069
65,1118.71,0.79017,0.53777,0.93087,0.92937,0.91916,0.97177,0.73541,0.92537,0.62766,1.00218,0.00040707,0.00040707,0.00040707
66,1135.73,0.81466,0.55502,0.94445,0.91218,0.95595,0.97403,0.73039,0.90396,0.60959,0.99536,0.000396071,0.000396071,0.000396071
67,1152.03,0.7741,0.52272,0.936,0.96413,0.89146,0.96265,0.72164,0.9343,0.61839,1.02027,0.000385073,0.000385073,0.000385073
68,1169.48,0.77605,0.52807,0.93378,0.93051,0.87804,0.95819,0.7328,0.91285,0.62361,1.00332,0.000374074,0.000374074,0.000374074
69,1186.02,0.78012,0.53157,0.92488,0.97325,0.87762,0.94922,0.69731,0.92084,0.61269,1.00833,0.000363075,0.000363075,0.000363075
70,1202.94,0.7688,0.5133,0.91495,0.92503,0.92101,0.95168,0.73708,0.91523,0.60156,1.01418,0.000352076,0.000352076,0.000352076
71,1219.57,0.77614,0.52358,0.92358,0.94863,0.86133,0.93723,0.70888,0.88458,0.58913,0.99943,0.000341077,0.000341077,0.000341077
72,1236.29,0.77155,0.52007,0.92504,0.89627,0.92679,0.94857,0.72654,0.90202,0.58351,1.00829,0.000330078,0.000330078,0.000330078
73,1253.69,0.78779,0.5251,0.93929,0.9288,0.90554,0.93821,0.7007,0.92445,0.6067,1.02365,0.000319079,0.000319079,0.000319079
74,1269.96,0.76611,0.50864,0.92954,0.95124,0.93,0.96179,0.73291,0.89083,0.59223,1.00561,0.00030808,0.00030808,0.00030808
75,1286.91,0.74329,0.50245,0.92055,0.89008,0.91019,0.93849,0.69686,0.91513,0.5735,1.02424,0.000297081,0.000297081,0.000297081
76,1303.97,0.76414,0.50676,0.92923,0.96617,0.91762,0.95384,0.71294,0.91782,0.55383,1.02218,0.000286083,0.000286083,0.000286083
77,1321.51,0.73832,0.49966,0.92193,0.9799,0.908,0.95433,0.72536,0.91214,0.562,1.01791,0.000275084,0.000275084,0.000275084
78,1337.54,0.73503,0.48661,0.91555,0.95839,0.90309,0.95269,0.72143,0.90585,0.5824,1.01338,0.000264085,0.000264085,0.000264085
79,1354.57,0.74669,0.49287,0.90872,0.95328,0.89325,0.94596,0.71842,0.91661,0.56056,1.01402,0.000253086,0.000253086,0.000253086
