second,timestamp_hhmmss,label,class,confidence,bbox,frame
121,00:02:01,Frazier,1,0.908108,"[0.605248, 0.530512, 0.0906306, 0.108594]",3636
122,00:02:02,Frazier,1,0.934316,"[0.61187, 0.480614, 0.0857063, 0.19927]",3671
123,00:02:03,Frazier,1,0.899647,"[0.61154, 0.484552, 0.0918226, 0.193468]",3690
124,00:02:04,Frazier,1,0.94352,"[0.618991, 0.483476, 0.0754381, 0.194262]",3743
125,00:02:05,Frazier,1,0.923919,"[0.612739, 0.481941, 0.0857056, 0.202154]",3778
128,00:02:08,Frazier,1,0.941484,"[0.610039, 0.496951, 0.0905872, 0.174648]",3859
129,00:02:09,Frazier,1,0.94058,"[0.61998, 0.494189, 0.0759012, 0.17621]",3892
130,00:02:10,Frazier,1,0.941437,"[0.610745, 0.491336, 0.0936807, 0.179848]",3929
131,00:02:11,Frazier,1,0.941398,"[0.621967, 0.491038, 0.0705254, 0.181639]",3944
132,00:02:12,Frazier,1,0.927008,"[0.615321, 0.49872, 0.0863846, 0.161974]",3961
133,00:02:13,Frazier,1,0.907743,"[0.601712, 0.512426, 0.104936, 0.136255]",3990
134,00:02:14,Frazier,1,0.893626,"[0.600246, 0.519656, 0.110421, 0.123062]",4036
135,00:02:15,Frazier,1,0.887769,"[0.597435, 0.503479, 0.116042, 0.148297]",4066
136,00:02:16,Frazier,1,0.90351,"[0.593015, 0.50067, 0.117433, 0.16657]",4103
137,00:02:17,Frazier,1,0.91556,"[0.605009, 0.480496, 0.100154, 0.195336]",4116
138,00:02:18,Frazier,1,0.918377,"[0.609181, 0.456639, 0.0853103, 0.249575]",4156
139,00:02:19,Frazier,1,0.929418,"[0.611346, 0.458585, 0.0806037, 0.24632]",4184
140,00:02:20,Frazier,1,0.938635,"[0.622487, 0.472884, 0.0529011, 0.213793]",4222
141,00:02:21,Frazier,1,0.92711,"[0.619344, 0.465145, 0.0685309, 0.226933]",4236
142,00:02:22,Frazier,1,0.929493,"[0.631086, 0.464232, 0.051535, 0.225327]",4289
143,00:02:23,Frazier,1,0.952759,"[0.632079, 0.467701, 0.0498814, 0.218757]",4307
144,00:02:24,Frazier,1,0.940203,"[0.618202, 0.455884, 0.080048, 0.246445]",4340
145,00:02:25,Frazier,1,0.937133,"[0.62913, 0.459147, 0.0623395, 0.236624]",4353
146,00:02:26,Frazier,1,0.920693,"[0.628173, 0.45604, 0.0571246, 0.24619]",4407
147,00:02:27,Frazier,1,0.952515,"[0.620023, 0.453919, 0.0682155, 0.244387]",4429
148,00:02:28,Frazier,1,0.934192,"[0.620858, 0.457343, 0.0656003, 0.241877]",4469
149,00:02:29,Frazier,1,0.960227,"[0.618965, 0.465223, 0.0706509, 0.225986]",4498
150,00:02:30,Frazier,1,0.944432,"[0.616896, 0.469904, 0.07684, 0.220444]",4500
151,00:02:31,Frazier,1,0.946817,"[0.618936, 0.470053, 0.0738075, 0.213854]",4559
152,00:02:32,Frazier,1,0.950127,"[0.619327, 0.470028, 0.0719252, 0.216293]",4562
153,00:02:33,Frazier,1,0.948573,"[0.619741, 0.466273, 0.0745146, 0.225492]",4603
154,00:02:34,Frazier,1,0.954928,"[0.618986, 0.477843, 0.0750252, 0.202728]",4640
155,00:02:35,Frazier,1,0.94031,"[0.613602, 0.488748, 0.086356, 0.175545]",4664
156,00:02:36,Frazier,1,0.932836,"[0.60845, 0.472127, 0.0920862, 0.211991]",4702
157,00:02:37,Frazier,1,0.947758,"[0.618924, 0.465145, 0.0759521, 0.226925]",4722
158,00:02:38,Frazier,1,0.93813,"[0.617323, 0.482441, 0.0779261, 0.191254]",4769
159,00:02:39,Frazier,1,0.957316,"[0.621968, 0.479593, 0.0689232, 0.195473]",4798
160,00:02:40,Frazier,1,0.945415,"[0.620454, 0.461485, 0.0732931, 0.233712]",4808
161,00:02:41,Frazier,1,0.948215,"[0.628006, 0.479635, 0.0549152, 0.199297]",4846
162,00:02:42,Frazier,1,0.941989,"[0.629384, 0.471517, 0.0521642, 0.216128]",4864
163,00:02:43,Frazier,1,0.906902,"[0.625981, 0.45527, 0.0633934, 0.244606]",4896
164,00:02:44,Frazier,1,0.933765,"[0.619306, 0.4578, 0.0790817, 0.237865]",4936
165,00:02:45,Frazier,1,0.938987,"[0.621486, 0.471116, 0.0675217, 0.213008]",4971
166,00:02:46,Frazier,1,0.952911,"[0.618279, 0.478057, 0.0728508, 0.197894]",5004
167,00:02:47,Frazier,1,0.948921,"[0.619361, 0.468688, 0.0788123, 0.219614]",5033
168,00:02:48,Frazier,1,0.955153,"[0.613393, 0.50373, 0.0834304, 0.157203]",5066
169,00:02:49,Frazier,1,0.95218,"[0.61381, 0.492084, 0.0828397, 0.175017]",5073
170,00:02:50,Frazier,1,0.937799,"[0.628084, 0.470585, 0.054398, 0.209331]",5120
171,00:02:51,Frazier,1,0.951576,"[0.625221, 0.47209, 0.0592714, 0.204616]",5142
172,00:02:52,Frazier,1,0.943192,"[0.618873, 0.457921, 0.0724598, 0.237069]",5161
173,00:02:53,Frazier,1,0.95737,"[0.616309, 0.467028, 0.0688419, 0.222827]",5211
174,00:02:54,Frazier,1,0.932589,"[0.611636, 0.482865, 0.0780869, 0.199969]",5225
175,00:02:55,Frazier,1,0.952006,"[0.602982, 0.50476, 0.0912351, 0.163898]",5266
176,00:02:56,Frazier,1,0.951232,"[0.603505, 0.504505, 0.0921804, 0.158247]",5280
177,00:02:57,Frazier,1,0.947827,"[0.603567, 0.502081, 0.0932848, 0.162441]",5314
178,00:02:58,Frazier,1,0.929959,"[0.61032, 0.489888, 0.0818314, 0.183009]",5340
181,00:03:01,Forceps,2,0.955308,"[0.622051, 0.506601, 0.0710901, 0.14111]",5445
182,00:03:02,Forceps,2,0.92517,"[0.626241, 0.510614, 0.0632183, 0.132209]",5478
183,00:03:03,Forceps,2,0.951482,"[0.625402, 0.49925, 0.0653405, 0.144364]",5511
184,00:03:04,Forceps,2,0.947722,"[0.635454, 0.489874, 0.0475903, 0.169234]",5536
185,00:03:05,Forceps,2,0.929666,"[0.635603, 0.48541, 0.0473347, 0.181276]",5554
188,00:03:08,Frazier,1,0.871888,"[0.578563, 0.500272, 0.130423, 0.146338]",5661
189,00:03:09,Frazier,1,0.919033,"[0.600617, 0.481253, 0.10496, 0.195637]",5693
190,00:03:10,Frazier,1,0.941112,"[0.609216, 0.466471, 0.0912643, 0.221806]",5719
191,00:03:11,Frazier,1,0.912277,"[0.607027, 0.457586, 0.0992821, 0.234886]",5739
192,00:03:12,Frazier,1,0.857987,"[0.598004, 0.500716, 0.105362, 0.138186]",5783
194,00:03:14,Frazier,1,0.94214,"[0.608987, 0.472118, 0.0899536, 0.209952]",5847
195,00:03:15,Frazier,1,0.935613,"[0.608177, 0.475362, 0.0884819, 0.206046]",5851
196,00:03:16,Frazier,1,0.943905,"[0.605065, 0.501858, 0.0977387, 0.156776]",5886
197,00:03:17,Frazier,1,0.94229,"[0.601386, 0.503312, 0.103293, 0.153922]",5916
198,00:03:18,Frazier,1,0.944055,"[0.602332, 0.507077, 0.0967853, 0.154752]",5962
199,00:03:19,Frazier,1,0.947249,"[0.614197, 0.495439, 0.079771, 0.169432]",5971
200,00:03:20,Frazier,1,0.927277,"[0.608149, 0.478749, 0.0903418, 0.195324]",6012
201,00:03:21,Frazier,1,0.930056,"[0.609794, 0.484665, 0.0871904, 0.184892]",6037
202,00:03:22,Frazier,1,0.937389,"[0.601912, 0.497378, 0.100449, 0.168055]",6088
203,00:03:23,Frazier,1,0.946875,"[0.611186, 0.49463, 0.0876247, 0.163543]",6112
204,00:03:24,Frazier,1,0.948827,"[0.609543, 0.492845, 0.0894854, 0.164184]",6142
205,00:03:25,Frazier,1,0.946721,"[0.608742, 0.495301, 0.0893765, 0.163552]",6155
206,00:03:26,Frazier,1,0.953388,"[0.604941, 0.499121, 0.0932474, 0.161126]",6193
207,00:03:27,Frazier,1,0.945126,"[0.607336, 0.499228, 0.0939369, 0.160297]",6210
208,00:03:28,Frazier,1,0.954705,"[0.602263, 0.498918, 0.097369, 0.162019]",6241
209,00:03:29,Frazier,1,0.935765,"[0.620255, 0.47031, 0.0737977, 0.205966]",6293
210,00:03:30,Frazier,1,0.939142,"[0.634669, 0.466953, 0.0521907, 0.21062]",6315
211,00:03:31,Frazier,1,0.951348,"[0.621864, 0.487528, 0.0786485, 0.172479]",6342
212,00:03:32,Frazier,1,0.935512,"[0.630541, 0.487977, 0.0621689, 0.174445]",6360
213,00:03:33,Frazier,1,0.940446,"[0.621703, 0.492156, 0.0745285, 0.164933]",6415
