epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1922.56,0.70521,0.46731,0.90793,0.9464,0.92158,0.97251,0.7806,0.83131,0.51118,0.99989,0.00030808,0.00030808,0.00030808
75,1946.01,0.6979,0.45759,0.90543,0.97458,0.91547,0.97832,0.76574,0.82244,0.50299,0.99924,0.000297081,0.000297081,0.000297081
76,1969.67,0.71593,0.46201,0.91343,0.95983,0.94176,0.98385,0.79522,0.78187,0.48196,0.97707,0.000286083,0.000286083,0.000286083
77,1992.88,0.69739,0.46308,0.90147,0.96682,0.96022,0.9861,0.78226,0.8012,0.49991,0.97381,0.000275084,0.000275084,0.000275084
78,2016.74,0.6929,0.45144,0.89781,0.9482,0.95285,0.97951,0.79083,0.79987,0.50783,0.98171,0.000264085,0.000264085,0.000264085
79,2041.46,0.70128,0.45387,0.90058,0.96172,0.94755,0.9829,0.78806,0.80081,0.49787,0.97446,0.000253086,0.000253086,0.000253086
80,2064.69,0.69308,0.4547,0.90651,0.95464,0.95702,0.98435,0.78144,0.79228,0.50301,0.98051,0.000242087,0.000242087,0.000242087
81,2087.82,0.696,0.46216,0.90261,0.94668,0.94707,0.98335,0.78295,0.77763,0.48981,0.97597,0.000231088,0.000231088,0.000231088
82,2111.34,0.67468,0.43169,0.89172,0.96337,0.93597,0.98195,0.78472,0.78693,0.4856,0.97237,0.000220089,0.000220089,0.000220089
83,2134.75,0.69492,0.45173,0.89625,0.96549,0.9595,0.98065,0.78911,0.79846,0.49724,0.98579,0.00020909,0.00020909,0.00020909
84,2158.25,0.6806,0.44133,0.88953,0.93854,0.96743,0.98211,0.79088,0.79777,0.48287,0.98585,0.000198091,0.000198091,0.000198091
85,2181.23,0.65711,0.41454,0.88348,0.96512,0.94598,0.98277,0.7776,0.81532,0.48581,0.99096,0.000187092,0.000187092,0.000187092
86,2205.06,0.65629,0.41898,0.88609,0.94783,0.97319,0.98251,0.78478,0.79864,0.49136,0.98238,0.000176094,0.000176094,0.000176094
87,2228.52,0.65861,0.42446,0.88126,0.96264,0.9597,0.984,0.7939,0.79885,0.47996,0.98853,0.000165095,0.000165095,0.000165095
88,2252.2,0.64483,0.42225,0.88657,0.97143,0.95411,0.98438,0.78885,0.80426,0.47499,0.99418,0.000154096,0.000154096,0.000154096
89,2276.08,0.66292,0.4326,0.88997,0.96957,0.94353,0.98315,0.79013,0.8039,0.47744,0.99457,0.000143097,0.000143097,0.000143097
90,2299.02,0.64417,0.4147,0.88381,0.95935,0.96443,0.98093,0.78802,0.79885,0.46827,0.98989,0.000132098,0.000132098,0.000132098
91,2327.86,0.59718,0.36156,0.88165,0.95466,0.96589,0.98018,0.79172,0.81015,0.48799,0.98972,0.000121099,0.000121099,0.000121099
92,2384.62,0.59648,0.35943,0.8747,0.94673,0.96651,0.98202,0.79214,0.80537,0.4626,0.98857,0.0001101,0.0001101,0.0001101
93,2498.66,0.57423,0.35263,0.86849,0.95951,0.96437,0.98372,0.79126,0.78372,0.46732,0.97969,9.91012e-05,9.91012e-05,9.91012e-05
94,2578.07,0.57392,0.34689,0.86074,0.96212,0.96304,0.98259,0.79419,0.79677,0.47873,0.99059,8.81023e-05,8.81023e-05,8.81023e-05
95,2653.53,0.57781,0.34892,0.86352,0.96495,0.95352,0.98129,0.7938,0.78786,0.48296,0.98516,7.71034e-05,7.71034e-05,7.71034e-05
96,2741.62,0.56888,0.34492,0.86767,0.95572,0.95697,0.98196,0.78724,0.79615,0.48295,0.9866,6.61045e-05,6.61045e-05,6.61045e-05
97,2809.65,0.57194,0.34802,0.86319,0.96314,0.9559,0.98358,0.79116,0.78859,0.47433,0.98037,5.51056e-05,5.51056e-05,5.51056e-05
98,2882.9,0.55128,0.3401,0.84929,0.96331,0.94505,0.98241,0.79188,0.78494,0.46452,0.98228,4.41067e-05,4.41067e-05,4.41067e-05
99,2931.15,0.55665,0.33954,0.86419,0.96129,0.95453,0.98458,0.79457,0.78686,0.46513,0.98226,3.31078e-05,3.31078e-05,3.31078e-05
100,2991.35,0.5547,0.33973,0.86395,0.94877,0.95236,0.98458,0.79198,0.78193,0.46857,0.98146,2.21089e-05,2.21089e-05,2.21089e-05
